id,direct_fixed,eff_year,award_id,total_funding
"('Directorate for Computer & Information Science & Engineering', 2002)",Directorate for Computer & Information Science & Engineering,2002,1154,559005626
"('Directorate for Computer & Information Science & Engineering', 2003)",Directorate for Computer & Information Science & Engineering,2003,1317,679619008
"('Directorate for Computer & Information Science & Engineering', 2004)",Directorate for Computer & Information Science & Engineering,2004,1106,465402956
"('Directorate for Computer & Information Science & Engineering', 2005)",Directorate for Computer & Information Science & Engineering,2005,1212,815269673
"('Directorate for Computer & Information Science & Engineering', 2006)",Directorate for Computer & Information Science & Engineering,2006,1317,484659797
"('Directorate for Computer & Information Science & Engineering', 2007)",Directorate for Computer & Information Science & Engineering,2007,1772,855075473
"('Directorate for Computer & Information Science & Engineering', 2008)",Directorate for Computer & Information Science & Engineering,2008,1532,556195214
"('Directorate for Computer & Information Science & Engineering', 2009)",Directorate for Computer & Information Science & Engineering,2009,1992,936359679
"('Directorate for Computer & Information Science & Engineering', 2010)",Directorate for Computer & Information Science & Engineering,2010,1808,931720755
"('Directorate for Computer & Information Science & Engineering', 2011)",Directorate for Computer & Information Science & Engineering,2011,1594,827339898
"('Directorate for Computer & Information Science & Engineering', 2012)",Directorate for Computer & Information Science & Engineering,2012,1810,781077592
"('Directorate for Computer & Information Science & Engineering', 2013)",Directorate for Computer & Information Science & Engineering,2013,1744,1022921646
"('Directorate for Computer & Information Science & Engineering', 2014)",Directorate for Computer & Information Science & Engineering,2014,1804,801540121
"('Directorate for Computer & Information Science & Engineering', 2015)",Directorate for Computer & Information Science & Engineering,2015,2085,901544768
"('Directorate for Computer & Information Science & Engineering', 2016)",Directorate for Computer & Information Science & Engineering,2016,2083,974349892
"('Directorate for Computer & Information Science & Engineering', 2017)",Directorate for Computer & Information Science & Engineering,2017,2056,832305487
"('Directorate for Computer & Information Science & Engineering', 2018)",Directorate for Computer & Information Science & Engineering,2018,2211,897601515
"('Directorate for Computer & Information Science & Engineering', 2019)",Directorate for Computer & Information Science & Engineering,2019,1819,649652433
"('Directorate for Education & Human Resources', 1971)",Directorate for Education & Human Resources,1971,2,381900
"('Directorate for Education & Human Resources', 1972)",Directorate for Education & Human Resources,1972,7,724130
"('Directorate for Education & Human Resources', 1973)",Directorate for Education & Human Resources,1973,12,3676500
"('Directorate for Education & Human Resources', 1974)",Directorate for Education & Human Resources,1974,22,3699877
"('Directorate for Education & Human Resources', 1975)",Directorate for Education & Human Resources,1975,24,2029543
"('Directorate for Education & Human Resources', 1976)",Directorate for Education & Human Resources,1976,29,3109009
"('Directorate for Education & Human Resources', 1977)",Directorate for Education & Human Resources,1977,70,6958263
